actionNumber;clock;timeActual;period;periodType;actionType;subType;qualifiers;personId;x;y;possession;scoreHome;scoreAway;edited;orderNumber;xLegacy;yLegacy;isFieldGoal;side;description;personIdsFilter;teamId;teamTricode;descriptor;jumpBallRecoveredName;jumpBallWonPlayerName;jumpBallWonPersonId;jumpBallLostPlayerName;jumpBallLostPersonId;officialId;turnoverTotal;playerName;playerNameI;foulPersonalTotal;foulTechnicalTotal;foulDrawnPlayerName;foulDrawnPersonId;shotResult;pointsTotal;shotDistance;assistPlayerNameInitial;assistPersonId;assistTotal;shotActionNumber;reboundTotal;reboundDefensiveTotal;reboundOffensiveTotal;blockPlayerName;blockPersonId;jumpBallRecoverdPersonId;stealPlayerName;stealPersonId;gameId;value;YEAR;isTargetScoreLastPeriod;area;areaDetail;shortFormattedClock;jerseyNumber
77;PT06M40.00S;2020-12-23T00:18:18.100Z;1;REGULAR;rebound;offensive;deadball, team;0;null;null;1.610.612.744;20;8;2020-12-23T00:18:18Z;760;null;null;0;null;TEAM offensive REBOUND;null;1.610.612.744;GSW;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;76;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
78;PT06M40.00S;2020-12-23T00:18:27.900Z;1;REGULAR;freethrow;2 of 2;2ndchance;1.629.672;null;null;1.610.612.744;20;9;2020-12-23T00:18:27Z;770;null;null;0;null;E. Paschall Free Throw 2 of 2 (1 PTS);1629672;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Paschall;E. Paschall;null;null;null;null;Made;1;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
79;PT06M23.00S;2020-12-23T00:18:47Z;1;REGULAR;3pt;Jump Shot;null;202.681;91;5;1.610.612.751;23;9;2020-12-23T00:18:56Z;780;-225;33;1;right;K. Irving 3PT (10 PTS) (S. Dinwiddie 2 AST);202681, 203915;1.610.612.751;BKN;null;null;null;null;null;null;null;null;Irving;K. Irving;null;null;null;null;Made;10;22,75;S. Dinwiddie;203.915;2;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
81;PT06M15.00S;2020-12-23T00:18:54.600Z;1;REGULAR;3pt;Jump Shot;fastbreak;201.939;30;68;1.610.612.744;23;9;2020-12-23T00:19:07Z;800;-90;231;1;left;MISS S. Curry 24' pullup 3PT;201939;1.610.612.744;GSW;pullup;null;null;null;null;null;null;null;Curry;S. Curry;null;null;null;null;Missed;null;24,79;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
82;PT06M11.00S;2020-12-23T00:18:58.600Z;1;REGULAR;rebound;defensive;null;203.915;null;null;1.610.612.751;23;9;2020-12-23T00:19:01Z;810;null;null;0;null;S. Dinwiddie REBOUND (Off:0 Def:1);203915;1.610.612.751;BKN;null;null;null;null;null;null;null;null;Dinwiddie;S. Dinwiddie;null;null;null;null;null;null;null;null;null;null;81;1;1;0;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
83;PT06M00.00S;2020-12-23T00:19:10.100Z;1;REGULAR;turnover;out-of-bounds;null;203.925;null;null;1.610.612.751;23;9;2020-12-23T00:19:58Z;820;null;null;0;null;J. Harris bad pass out-of-bounds TURNOVER (1 TO);203925;1.610.612.751;BKN;bad pass;null;null;null;null;null;202.053;1;Harris;J. Harris;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
84;PT06M00.00S;2020-12-23T00:19:18.200Z;1;REGULAR;substitution;out;null;201.599;null;null;1.610.612.744;23;9;2020-12-23T00:19:30Z;830;null;null;0;null;SUB out: D. Jordan;201599;1.610.612.751;BKN;null;null;null;null;null;null;null;null;Jordan;D. Jordan;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
85;PT06M00.00S;2020-12-23T00:19:18.200Z;1;REGULAR;substitution;out;null;203.952;null;null;1.610.612.744;23;9;2020-12-23T00:19:30Z;840;null;null;0;null;SUB out: A. Wiggins;203952;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Wiggins;A. Wiggins;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
86;PT06M00.00S;2020-12-23T00:19:18.200Z;1;REGULAR;substitution;in;null;1.628.386;null;null;1.610.612.744;23;9;2020-12-23T00:19:30Z;850;null;null;0;null;SUB in: J. Allen;1628386;1.610.612.751;BKN;null;null;null;null;null;null;null;null;Allen;J. Allen;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
87;PT06M00.00S;2020-12-23T00:19:18.200Z;1;REGULAR;substitution;in;null;203.145;null;null;1.610.612.744;23;9;2020-12-23T00:19:30Z;860;null;null;0;null;SUB in: K. Bazemore;203145;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Bazemore;K. Bazemore;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
88;PT05M47.00S;2020-12-23T00:19:44.300Z;1;REGULAR;3pt;Jump Shot;fromturnover;1.626.162;32;48;1.610.612.744;23;9;2020-12-23T00:19:49Z;870;11;246;1;left;MISS K. Oubre Jr. 24' 3PT;1626162;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Oubre Jr.;K. Oubre Jr.;null;null;null;null;Missed;null;24,62;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
89;PT05M43.00S;2020-12-23T00:19:48.300Z;1;REGULAR;rebound;defensive;null;201.142;null;null;1.610.612.751;23;9;2020-12-23T00:19:49Z;880;null;null;0;null;K. Durant REBOUND (Off:0 Def:1);201142;1.610.612.751;BKN;null;null;null;null;null;null;null;null;Durant;K. Durant;null;null;null;null;null;null;null;null;null;null;88;1;1;0;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
90;PT05M34.00S;2020-12-23T00:20:01Z;1;REGULAR;foul;personal;null;203.145;null;null;1.610.612.751;23;9;2020-12-23T00:20:07Z;890;null;null;0;null;K. Bazemore personal FOUL (1 PF);203145, 201142;1.610.612.744;GSW;null;null;null;null;null;null;2.534;null;Bazemore;K. Bazemore;1;0;Durant;201.142;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
92;PT05M25.00S;2020-12-23T00:20:19.300Z;1;REGULAR;3pt;Jump Shot;null;203.925;85;96;1.610.612.751;23;9;2020-12-23T00:24:11Z;910;230;91;1;right;MISS J. Harris 24' step back 3PT;203925;1.610.612.751;BKN;step back;null;null;null;null;null;null;null;Harris;J. Harris;null;null;null;null;Missed;null;24,7;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
93;PT05M20.00S;2020-12-23T00:20:24.300Z;1;REGULAR;rebound;defensive;null;203.145;null;null;1.610.612.744;23;9;2020-12-23T00:20:27Z;920;null;null;0;null;K. Bazemore REBOUND (Off:0 Def:1);203145;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Bazemore;K. Bazemore;null;null;null;null;null;null;null;null;null;null;92;1;1;0;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
94;PT05M17.00S;2020-12-23T00:20:27.100Z;1;REGULAR;2pt;Layup;pointsinthepaint, fastbreak;203.145;5;49;1.610.612.744;23;11;2020-12-23T00:20:37Z;930;5;-2;1;left;K. Bazemore running Layup (2 PTS);203145;1.610.612.744;GSW;running;null;null;null;null;null;null;null;Bazemore;K. Bazemore;null;null;null;null;Made;2;0,51;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
95;PT05M03.00S;2020-12-23T00:20:40.600Z;1;REGULAR;3pt;Jump Shot;null;203.925;92;4;1.610.612.751;26;11;2020-12-23T00:20:46Z;940;-230;27;1;right;J. Harris 3PT (6 PTS) (J. Allen 1 AST);203925, 1628386;1.610.612.751;BKN;null;null;null;null;null;null;null;null;Harris;J. Harris;null;null;null;null;Made;6;23,16;J. Allen;1.628.386;1;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
97;PT04M52.00S;2020-12-23T00:20:51.100Z;1;REGULAR;2pt;Jump Shot;fastbreak;201.939;28;36;1.610.612.744;26;13;2020-12-23T00:23:46Z;960;72;215;1;left;S. Curry 22' pullup Jump Shot (6 PTS);201939;1.610.612.744;GSW;pullup;null;null;null;null;null;null;null;Curry;S. Curry;null;null;null;null;Made;6;22,68;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
98;PT04M41.00S;2020-12-23T00:21:03.600Z;1;REGULAR;2pt;Jump Shot;pointsinthepaint;202.681;82;37;1.610.612.751;28;13;2020-12-23T00:21:17Z;970;-66;116;1;right;K. Irving 13' pullup Jump Shot (12 PTS);202681;1.610.612.751;BKN;pullup;null;null;null;null;null;null;null;Irving;K. Irving;null;null;null;null;Made;12;13,34;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
103;PT04M28.00S;2020-12-23T00:21:56.700Z;1;REGULAR;jumpball;recovered;null;1.626.162;null;null;1.610.612.744;28;13;2020-12-23T00:27:26Z;972,5;null;null;0;null;Jump Ball K. Bazemore vs. K. Durant: Tip to K. Oubre Jr.;1626162, 203145, 201142;1.610.612.744;GSW;heldball;K. Oubre Jr.;Bazemore;203.145;Durant;201.142;null;null;Oubre Jr.;K. Oubre Jr.;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1.626.162;null;null;22.000.001;null;2020;null;null;null;null;null
99;PT04M28.00S;2020-12-23T00:21:56.700Z;1;REGULAR;substitution;out;null;203.925;null;null;1.610.612.744;28;13;2020-12-23T00:25:49Z;975;null;null;0;null;SUB out: J. Harris;203925;1.610.612.751;BKN;null;null;null;null;null;null;null;null;Harris;J. Harris;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
100;PT04M28.00S;2020-12-23T00:21:56.700Z;1;REGULAR;substitution;out;null;203.915;null;null;1.610.612.744;28;13;2020-12-23T00:25:49Z;977,5;null;null;0;null;SUB out: S. Dinwiddie;203915;1.610.612.751;BKN;null;null;null;null;null;null;null;null;Dinwiddie;S. Dinwiddie;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
101;PT04M28.00S;2020-12-23T00:21:56.700Z;1;REGULAR;substitution;in;null;1.629.013;null;null;1.610.612.744;28;13;2020-12-23T00:25:49Z;978,75;null;null;0;null;SUB in: L. Shamet;1629013;1.610.612.751;BKN;null;null;null;null;null;null;null;null;Shamet;L. Shamet;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
102;PT04M28.00S;2020-12-23T00:21:56.700Z;1;REGULAR;substitution;in;null;1.627.747;null;null;1.610.612.744;28;13;2020-12-23T00:25:49Z;979,375;null;null;0;null;SUB in: C. LeVert;1627747;1.610.612.751;BKN;null;null;null;null;null;null;null;null;LeVert;C. LeVert;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
126;PT04M28.00S;2020-12-23T00:21:56.700Z;1;REGULAR;substitution;out;null;1.629.672;null;null;1.610.612.744;28;13;2020-12-23T00:25:49Z;979,687;null;null;0;null;SUB out: E. Paschall;1629672;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Paschall;E. Paschall;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
127;PT04M28.00S;2020-12-23T00:21:56.700Z;1;REGULAR;substitution;in;null;1.627.814;null;null;1.610.612.744;28;13;2020-12-23T00:25:49Z;979,843;null;null;0;null;SUB in: D. Lee;1627814;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Lee;D. Lee;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
106;PT04M21.00S;2020-12-23T00:21:59Z;1;REGULAR;2pt;Layup;pointsinthepaint;1.626.162;6;49;1.610.612.744;28;13;2020-12-23T00:22:04Z;1,010,000;6;6;1;left;MISS K. Oubre Jr. driving finger roll Layup;1626162;1.610.612.744;GSW;driving finger roll;null;null;null;null;null;null;null;Oubre Jr.;K. Oubre Jr.;null;null;null;null;Missed;null;0,86;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
107;PT04M19.00S;2020-12-23T00:22:01Z;1;REGULAR;rebound;offensive;null;1.626.162;null;null;1.610.612.744;28;13;2020-12-23T00:22:04Z;1,020,000;null;null;0;null;K. Oubre Jr. REBOUND (Off:1 Def:1);1626162;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Oubre Jr.;K. Oubre Jr.;null;null;null;null;null;null;null;null;null;null;106;2;1;1;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
108;PT04M18.00S;2020-12-23T00:22:07.700Z;1;REGULAR;2pt;DUNK;pointsinthepaint, 2ndchance;1.626.162;8;49;1.610.612.744;28;13;2020-12-23T00:22:14Z;1,030,000;7;20;1;left;MISS K. Oubre Jr. driving DUNK;1626162;1.610.612.744;GSW;driving;null;null;null;null;null;null;null;Oubre Jr.;K. Oubre Jr.;null;null;null;null;Missed;null;2,11;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
109;PT04M17.00S;2020-12-23T00:22:08.700Z;1;REGULAR;rebound;defensive;team;0;null;null;1.610.612.751;28;13;2020-12-23T00:22:14Z;1,040,000;null;null;0;null;TEAM defensive REBOUND;null;1.610.612.751;BKN;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;108;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
110;PT04M08.00S;2020-12-23T00:22:20.400Z;1;REGULAR;2pt;Jump Shot;null;202.681;79;58;1.610.612.751;28;13;2020-12-23T00:22:31Z;1,050,000;40;148;1;right;MISS K. Irving 15' pullup Shot;202681;1.610.612.751;BKN;pullup;null;null;null;null;null;null;null;Irving;K. Irving;null;null;null;null;Missed;null;15,33;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
111;PT04M02.00S;2020-12-23T00:22:26.400Z;1;REGULAR;rebound;defensive;null;203.145;null;null;1.610.612.744;28;13;2020-12-23T00:22:31Z;1,060,000;null;null;0;null;K. Bazemore REBOUND (Off:0 Def:2);203145;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Bazemore;K. Bazemore;null;null;null;null;null;null;null;null;null;null;110;2;2;0;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
112;PT03M57.00S;2020-12-23T00:22:31.200Z;1;REGULAR;3pt;Jump Shot;null;203.145;26;82;1.610.612.744;28;13;2020-12-23T00:22:38Z;1,070,000;-160;188;1;left;MISS K. Bazemore 24' 3PT;203145;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Bazemore;K. Bazemore;null;null;null;null;Missed;null;24,66;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
113;PT03M54.00S;2020-12-23T00:22:34.200Z;1;REGULAR;rebound;offensive;null;1.626.162;null;null;1.610.612.744;28;13;2020-12-23T00:22:38Z;1,080,000;null;null;0;null;K. Oubre Jr. REBOUND (Off:2 Def:1);1626162;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Oubre Jr.;K. Oubre Jr.;null;null;null;null;null;null;null;null;null;null;112;3;1;2;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
114;PT03M52.00S;2020-12-23T00:22:36.100Z;1;REGULAR;2pt;DUNK;pointsinthepaint, 2ndchance;1.626.162;9;48;1.610.612.744;28;15;2020-12-23T00:22:41Z;1,090,000;9;29;1;left;K. Oubre Jr. tip DUNK (2 PTS);1626162;1.610.612.744;GSW;tip;null;null;null;null;null;null;null;Oubre Jr.;K. Oubre Jr.;null;null;null;null;Made;2;3,01;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
115;PT03M42.00S;2020-12-23T00:22:46.400Z;1;REGULAR;turnover;lost ball;null;201.142;null;null;1.610.612.751;28;15;2020-12-23T00:22:57Z;1,100,000;null;null;0;null;K. Durant lost ball TURNOVER (1 TO);201142, 1626162;1.610.612.751;BKN;null;null;null;null;null;null;null;1;Durant;K. Durant;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Oubre Jr.;1.626.162;22.000.001;null;2020;null;null;null;null;null
116;PT03M42.00S;2020-12-23T00:22:46.400Z;1;REGULAR;steal;null;null;1.626.162;null;null;1.610.612.744;28;15;2020-12-23T00:22:48Z;1,110,000;null;null;0;null;K. Oubre Jr. STEAL (1 STL);1626162;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Oubre Jr.;K. Oubre Jr.;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
117;PT03M36.00S;2020-12-23T00:22:51.400Z;1;REGULAR;2pt;DUNK;pointsinthepaint, fromturnover;1.626.162;5;50;1.610.612.744;28;17;2020-12-23T00:30:11Z;1,120,000;2;-5;1;left;K. Oubre Jr. running DUNK (4 PTS) (S. Curry 1 AST);1626162, 201939;1.610.612.744;GSW;running;null;null;null;null;null;null;null;Oubre Jr.;K. Oubre Jr.;null;null;null;null;Made;4;0,52;S. Curry;201.939;1;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
119;PT03M14.00S;2020-12-23T00:23:14.100Z;1;REGULAR;2pt;Layup;pointsinthepaint;201.142;94;42;1.610.612.751;28;17;2020-12-23T00:30:49Z;1,140,000;-38;2;1;right;MISS K. Durant driving Layup;201142;1.610.612.751;BKN;driving;null;null;null;null;null;null;null;Durant;K. Durant;null;null;null;null;Missed;null;3,77;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
120;PT03M13.00S;2020-12-23T00:23:15.100Z;1;REGULAR;rebound;defensive;null;1.627.814;null;null;1.610.612.744;28;17;2020-12-23T00:30:49Z;1,150,000;null;null;0;null;D. Lee REBOUND (Off:0 Def:1);1627814;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Lee;D. Lee;null;null;null;null;null;null;null;null;null;null;119;1;1;0;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
121;PT02M59.00S;2020-12-23T00:23:28.500Z;1;REGULAR;2pt;Jump Shot;null;1.626.172;17;27;1.610.612.744;28;17;2020-12-23T00:31:10Z;1,160,000;115;104;1;left;MISS K. Looney 15' Jump Shot;1626172;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Looney;K. Looney;null;null;null;null;Missed;null;15,49;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
122;PT02M59.00S;2020-12-23T00:23:28.500Z;1;REGULAR;rebound;defensive;null;201.142;null;null;1.610.612.751;28;17;2020-12-23T00:23:35Z;1,170,000;null;null;0;null;K. Durant REBOUND (Off:0 Def:2);201142;1.610.612.751;BKN;null;null;null;null;null;null;null;null;Durant;K. Durant;null;null;null;null;null;null;null;null;null;null;121;2;2;0;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
123;PT02M51.00S;2020-12-23T00:23:37.900Z;1;REGULAR;foul;personal;2freethrow;1.626.172;null;null;1.610.612.751;28;17;2020-12-23T00:33:42Z;1,242,500;;;0;;K. Looney shooting personal FOUL (1 PF) (Irving 2 FT);1626172, 202681;1.610.612.744;GSW;shooting;;;;;;202.007;;Looney;K. Looney;1;0;Irving;202.681;;;;;;;;;;;;;;;;22.000.001;;2020;;;;;
125;PT02M51.00S;2020-12-23T00:23:57.900Z;1;REGULAR;timeout;full;team, mandatory;0;null;null;1.610.612.751;28;17;2020-12-23T00:33:42Z;1,245,000;;;0;;BKN Timeout;;1.610.612.751;BKN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.000.001;;2020;;;;;
128;PT02M51.00S;2020-12-23T00:25:19Z;1;REGULAR;substitution;out;;201.142;null;null;1.610.612.751;28;17;2020-12-23T00:27:09Z;1,246,250;;;0;;SUB out: K. Durant;201142;1.610.612.751;BKN;;;;;;;;;Durant;K. Durant;;;;;;;;;;;;;;;;;;;;22.000.001;;2020;;;;;
129;PT02M51.00S;2020-12-23T00:25:19Z;1;REGULAR;substitution;in;;201.145;null;null;1.610.612.751;28;17;2020-12-23T00:27:09Z;1,246,875;;;0;;SUB in: J. Green;201145;1.610.612.751;BKN;;;;;;;;;Green;J. Green;;;;;;;;;;;;;;;;;;;;22.000.001;;2020;;;;;
130;PT02M51.00S;2020-12-23T00:27:26.900Z;1;REGULAR;freethrow;1 of 2;;202.681;null;null;1.610.612.751;29;17;2020-12-23T00:33:51Z;1,247,500;;;0;;K. Irving Free Throw 1 of 2 (13 PTS);202681;1.610.612.751;BKN;;;;;;;;;Irving;K. Irving;;;;;Made;13;;;;;;;;;;;;;;22.000.001;;2020;;;;;
131;PT02M51.00S;2020-12-23T00:27:26.900Z;1;REGULAR;freethrow;2 of 2;;202.681;null;null;1.610.612.751;30;17;2020-12-23T00:33:51Z;1,248,750;;;0;;K. Irving Free Throw 2 of 2 (14 PTS);202681;1.610.612.751;BKN;;;;;;;;;Irving;K. Irving;;;;;Made;14;;;;;;;;;;;;;;22.000.001;;2020;;;;;
132;PT02M47.00S;2020-12-23T00:27:45Z;1;REGULAR;turnover;bad pass;;1.626.162;null;null;1.610.612.744;30;17;2020-12-23T00:27:55Z;1,250,000;;;0;;K. Oubre Jr. bad pass TURNOVER (2 TO);1626162, 201145;1.610.612.744;GSW;;;;;;;;2;Oubre Jr.;K. Oubre Jr.;;;;;;;;;;;;;;;;;;Green;201.145;22.000.001;;2020;;;;;
133;PT02M47.00S;2020-12-23T00:27:45Z;1;REGULAR;steal;;;201.145;null;null;1.610.612.751;30;17;2020-12-23T00:30:57Z;1,260,000;;;0;;J. Green STEAL (1 STL);201145;1.610.612.751;BKN;;;;;;;;;Green;J. Green;;;;;;;;;;;;;;;;;;;;22.000.001;;2020;;;;;
134;PT02M42.00S;2020-12-23T00:27:50Z;1;REGULAR;3pt;Jump Shot;fromturnover;1.627.747;70;30;1.610.612.751;33;17;2020-12-23T00:27:58Z;1,270,000;-100;233;1;right;C. LeVert 25' 3PT  (3 PTS);1627747;1.610.612.751;BKN;;;;;;;;;LeVert;C. LeVert;;;;;Made;3;25,39;;;;;;;;;;;;;22.000.001;;2020;;;;;
135;PT02M34.00S;2020-12-23T00:27:59.200Z;1;REGULAR;turnover;bad pass;;1.626.172;null;null;1.610.612.744;33;17;2020-12-23T00:28:08Z;1,280,000;;;0;;K. Looney bad pass TURNOVER (1 TO);1626172, 1628386;1.610.612.744;GSW;;;;;;;;1;Looney;K. Looney;;;;;;;;;;;;;;;;;;Allen;1.628.386;22.000.001;;2020;;;;;
136;PT02M34.00S;2020-12-23T00:27:59.200Z;1;REGULAR;steal;;;1.628.386;null;null;1.610.612.751;33;17;2020-12-23T00:29:12Z;1,290,000;;;0;;J. Allen STEAL (1 STL);1628386;1.610.612.751;BKN;;;;;;;;;Allen;J. Allen;;;;;;;;;;;;;;;;;;;;22.000.001;;2020;;;;;
137;PT02M29.00S;2020-12-23T00:28:04.500Z;1;REGULAR;3pt;Jump Shot;fastbreak, fromturnover;202.681;67;60;1.610.612.751;36;17;2020-12-23T00:35:12Z;1,300,000;52;260;1;right;K. Irving 26' 3PT pullup (17 PTS);202681;1.610.612.751;BKN;pullup;;;;;;;;Irving;K. Irving;;;;;Made;17;26,56;;;;;;;;;;;;;22.000.001;;2020;;;;;
138;PT02M29.00S;2020-12-23T00:28:10.200Z;1;REGULAR;timeout;full;team;0;null;null;1.610.612.744;36;17;2020-12-23T00:47:23Z;1,310,000;;;0;;GSW Timeout;;1.610.612.744;GSW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.000.001;;2020;;;;;
139;PT02M29.00S;2020-12-23T00:29:09.600Z;1;REGULAR;substitution;out;;202.681;null;null;1.610.612.744;36;17;2020-12-23T00:29:32Z;1,320,000;;;0;;SUB out: K. Irving;202681;1.610.612.751;BKN;;;;;;;;;Irving;K. Irving;;;;;;;;;;;;;;;;;;;;22.000.001;;2020;;;;;
140;PT02M29.00S;2020-12-23T00:29:09.600Z;1;REGULAR;substitution;out;;1.626.162;null;null;1.610.612.744;36;17;2020-12-23T00:29:32Z;1,330,000;;;0;;SUB out: K. Oubre Jr.;1626162;1.610.612.744;GSW;;;;;;;;;Oubre Jr.;K. Oubre Jr.;;;;;;;;;;;;;;;;;;;;22.000.001;;2020;;;;;
141;PT02M29.00S;2020-12-23T00:29:09.600Z;1;REGULAR;substitution;in;;1.627.752;null;null;1.610.612.744;36;17;2020-12-23T00:29:32Z;1,340,000;;;0;;SUB in: T. Prince;1627752;1.610.612.751;BKN;;;;;;;;;Prince;T. Prince;;;;;;;;;;;;;;;;;;;;22.000.001;;2020;;;;;
142;PT02M29.00S;2020-12-23T00:29:09.600Z;1;REGULAR;substitution;in;;203.952;;;1.610.612.744;36;17;2020-12-23T00:29:32Z;1,350,000;;;0;;SUB in: A. Wiggins;203952;1.610.612.744;GSW;;;;;;;;;Wiggins;A. Wiggins;;;;;;;;;;;;;;;;;;;;22.000.001;;2020;;;;;
143;PT02M12.00S;2020-12-23T00:29:50.600Z;1;REGULAR;2pt;Hook;pointsinthepaint;1.626.172;6;52;1.610.612.744;36;17;2020-12-23T00:29:54Z;1,360,000;-8;4;1;left;MISS K. Looney Hook;1626172;1.610.612.744;GSW;;;;;;;;;Looney;K. Looney;;;;;Missed;;0,86;;;;;;;;;;;;;22.000.001;;2020;;;;;
144;PT02M10.00S;2020-12-23T00:29:52.600Z;1;REGULAR;rebound;defensive;;1.627.747;null;null;1.610.612.751;36;17;2020-12-23T00:29:54Z;1,370,000;;;0;;C. LeVert REBOUND (Off:0 Def:1);1627747;1.610.612.751;BKN;;;;;;;;;LeVert;C. LeVert;;;;;;;;;;;143;1;1;0;;;;;;22.000.001;;2020;;;;;
145;PT02M03.00S;2020-12-23T00:30:03.200Z;1;REGULAR;foul;offensive;;1.627.747;null;null;1.610.612.751;36;17;2020-12-23T00:35:49Z;1,380,000;;;0;;C. LeVert charge offensive FOUL (1 PF);1627747, 1626172;1.610.612.751;BKN;charge;;;;;;202.053;;LeVert;C. LeVert;1;0;Looney;1.626.172;;;;;;;;;;;;;;;;22.000.001;;2020;;;;;
147;PT02M03.00S;2020-12-23T00:30:03.200Z;1;REGULAR;turnover;offensive foul;;1.627.747;null;null;1.610.612.751;36;17;2020-12-23T00:30:03Z;1,400,000;;;0;;C. LeVert offensive foul TURNOVER (1 TO);1627747;1.610.612.751;BKN;;;;;;;202.053;1;LeVert;C. LeVert;;;;;;;;;;;;;;;;;;;;22.000.001;;2020;;;;;
148;PT02M03.00S;2020-12-23T00:30:11.400Z;1;REGULAR;substitution;out;;1.626.172;null;null;1.610.612.744;36;17;2020-12-23T00:30:20Z;1,410,000;;;0;;SUB out: K. Looney;1626172;1.610.612.744;GSW;;;;;;;;;Looney;K. Looney;;;;;;;;;;;;;;;;;;;;22.000.001;;2020;;;;;
149;PT02M03.00S;2020-12-23T00:30:11.400Z;1;REGULAR;substitution;in;;1.627.737;null;null;1.610.612.744;36;17;2020-12-23T00:30:20Z;1,420,000;;;0;;SUB in: M. Chriss;1627737;1.610.612.744;GSW;;;;;;;;;Chriss;M. Chriss;;;;;;;;;;;;;;;;;;;;22.000.001;;2020;;;;;
